actor,start,end,genre
Christopher Lee (Thriller),1950,1973,Thriller
Bess Flowers (Thriller),1938,1957,Thriller
Peter Cushing,1953,1973,Thriller
Humphrey Bogart,1930,1949,Thriller
Donald Pleasence,1970,1985,Thriller
Samuel L. Jackson (Thriller),1987,2002,Thriller
Peter Stormare,1996,2008,Thriller
John George,1917,1928,Thriller
Boris Karloff (Thriller),1922,1933,Thriller
Bela Lugosi,1925,1935,Thriller
Bess Flowers (Drama),1928,1959,Drama
Gerard Depardieu,1971,2001,Drama
Mary Pickford,1900,1917,Drama
Irving Bacon (Drama),1931,1943,Drama
Robert Harron,1903,1913,Drama
Alain Delon,1959,1970,Drama
Bess Flowers (Comedy),1927,1958,Comedy
Dan Aykroyd,1979,1995,Comedy
Buster Keaton,1912,1926,Comedy
Charlie Chaplin,1905,1918,Comedy
Irving Bacon (Comedy),1930,1942,Comedy
Edna Purviance,1906,1917,Comedy
Jerry Lewis,1949,1960,Comedy
Bud Spencer,1968,1978,Comedy
John Candy,1978,1988,Comedy
Leo White,1906,1915,Comedy
Peter Sellers,1954,1963,Comedy
Burt Reynolds,1969,1978,Comedy
Whoopi Goldberg,1986,1996,Comedy
John Wayne,1923,1962,Action
Jackie Chan,1969,1999,Action
Christopher Lee (Action),1956,1974,Action
Douglas Fairbanks,1907,1923,Action
Samuel L. Jackson (Action),1992,2008,Action
Frank Welker,1986,2006,Action
Bess Flowers (Action),1942,1957,Action
Randolph Scott,1942,1953,Action
Boris Karloff (Action),1922,1932,Action
Ray Teal,1941,1951,Action
Morris Ankrum,1944,1954,Action
Shintarou Katsu,1957,1967,Action
Danny Trejo,1994,2008,Action
